category,item,serving_size,calories,calories_from_fat,total_fat,total_fat_pct_dv,saturated_fat,saturated_fat_pct_dv,trans_fat,cholesterol,cholesterol_pct_dv,sodium,sodium_pct_dv,carbohydrates,carbohydrates_pct_dv,dietary_fiber,dietary_fiber_pct_dv,sugars,protein,vitamin_a_pct_dv,vitamin_c_pct_dv,calcium_pct_dv,iron_pct_dv,serving_weight_g,calorie_density,high_sugar_spike,protein_100g,category_encoded,item_encoded
Breakfast,Egg McMuffin,4.8 oz (136 g),0.15281501340482576,120,0.11016949152542373,20,5.0,25,0.0,260,87,0.20833333333333334,31,0.19708029197080293,10,4,17,3,0.1954022988505747,10,0,25,15,0.17341977309562398,2.2058823529411766,No,12.5,1,45
Breakfast,Egg White Delight,4.8 oz (135 g),0.1260053619302949,70,0.06779661016949153,12,3.0,15,0.0,25,8,0.21388888888888888,32,0.1897810218978102,10,4,17,3,0.20689655172413793,6,0,25,8,0.1717990275526742,1.8518518518518519,No,13.333333333333334,1,46
Breakfast,Sausage McMuffin,3.9 oz (111 g),0.19034852546916892,200,0.19491525423728814,35,8.0,42,0.0,45,15,0.21666666666666667,33,0.18248175182481752,10,4,17,2,0.16091954022988506,8,0,25,10,0.13290113452188004,3.3333333333333335,No,12.612612612612612,1,113
Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g),0.23324396782841825,250,0.23728813559322035,43,10.0,52,0.0,285,95,0.2388888888888889,36,0.1897810218978102,10,4,17,2,0.24137931034482757,15,0,30,15,0.21393841166936792,2.7950310559006213,No,13.043478260869565,1,114
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),0.20643431635388743,210,0.19491525423728814,35,8.0,42,0.0,50,16,0.24444444444444444,37,0.1897810218978102,10,4,17,2,0.24137931034482757,6,0,25,10,0.21393841166936792,2.484472049689441,No,13.043478260869565,1,115
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),0.2225201072386059,210,0.19491525423728814,36,9.0,46,1.0,300,100,0.26666666666666666,40,0.19708029197080293,10,4,18,3,0.29885057471264365,15,2,30,20,0.2528363047001621,2.324324324324324,No,14.054054054054054,1,126
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),0.23860589812332442,230,0.22033898305084745,40,13.0,65,0.0,250,83,0.3611111111111111,54,0.24817518248175183,13,2,7,3,0.21839080459770116,10,8,15,15,0.19611021069692056,3.066666666666667,No,12.666666666666668,1,10
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),0.2707774798927614,270,0.2542372881355932,47,14.0,68,0.0,250,83,0.39166666666666666,59,0.2846715328467153,14,3,12,4,0.21839080459770116,15,8,20,20,0.2188006482982172,3.1707317073170733,No,11.585365853658537,1,9
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),0.2117962466487936,180,0.1694915254237288,32,11.0,56,0.0,35,11,0.3611111111111111,54,0.23357664233576644,12,2,7,3,0.22988505747126436,2,8,15,10,0.20097244732576983,2.679738562091503,No,13.071895424836603,1,12
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),0.24396782841823056,220,0.211864406779661,38,12.0,59,0.0,35,11,0.39444444444444443,59,0.2773722627737226,14,3,12,4,0.22988505747126436,6,8,15,15,0.22366288492706646,2.81437125748503,No,11.976047904191617,1,11
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),0.2225201072386059,240,0.2288135593220339,42,12.0,62,0.0,30,10,0.3,45,0.21897810218978103,11,2,6,2,0.12643678160919541,0,0,6,15,0.14262560777957858,3.675213675213675,No,9.401709401709402,1,106
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),0.24932975871313673,280,0.2627118644067797,48,13.0,65,0.0,30,10,0.33055555555555555,50,0.2554744525547445,13,3,11,3,0.12643678160919541,4,0,8,15,0.1653160453808752,3.66412213740458,No,8.396946564885496,1,105
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),0.26541554959785524,290,0.2796610169491525,50,14.0,71,0.0,250,83,0.325,49,0.23357664233576644,12,2,6,2,0.20689655172413793,6,0,10,20,0.2171799027552674,3.128834355828221,No,11.042944785276074,1,108
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),0.29758713136729226,330,0.3135593220338983,57,15.0,74,0.0,250,83,0.35555555555555557,53,0.2773722627737226,14,3,11,3,0.20689655172413793,10,0,10,20,0.239870340356564,3.2203389830508473,No,10.16949152542373,1,107
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),0.23860589812332442,250,0.2288135593220339,42,12.0,62,0.0,35,11,0.3277777777777778,49,0.21897810218978103,11,2,6,3,0.20689655172413793,0,0,8,15,0.22366288492706646,2.754491017964072,No,10.778443113772456,1,110
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),0.2707774798927614,280,0.2711864406779661,49,13.0,65,0.0,35,11,0.35833333333333334,54,0.2627737226277372,13,3,11,3,0.20689655172413793,4,0,8,15,0.24635332252836303,2.8729281767955803,No,9.94475138121547,1,109
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),0.2117962466487936,180,0.1694915254237288,31,8.0,41,0.0,30,10,0.3277777777777778,49,0.2700729927007299,14,2,6,3,0.1954022988505747,0,2,6,15,0.18476499189627227,2.867132867132867,No,11.888111888111888,1,123
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),0.24396782841823056,220,0.2033898305084746,37,9.0,45,0.0,30,10,0.35833333333333334,54,0.3065693430656934,15,3,11,4,0.1954022988505747,4,2,8,15,0.20745542949756887,2.9936305732484074,No,10.828025477707007,1,122
Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),0.28150134048257375,290,0.2711864406779661,49,16.0,78,1.0,280,93,0.4083333333333333,61,0.24817518248175183,13,2,8,3,0.28735632183908044,10,2,20,25,0.2787682333873582,2.6865671641791047,No,12.437810945273633,1,125
Breakfast,"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),0.23860589812332442,190,0.17796610169491525,32,9.0,44,0.0,250,84,0.3472222222222222,52,0.32116788321167883,16,2,9,15,0.21839080459770116,10,10,20,15,0.23500810372771472,2.6436781609195403,No,10.919540229885058,1,13
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),0.20643431635388743,140,0.1271186440677966,24,7.0,34,0.0,35,11,0.3472222222222222,52,0.3138686131386861,16,2,9,16,0.22988505747126436,2,10,15,10,0.24149108589951376,2.247191011235955,No,11.235955056179774,1,14
Breakfast,Sausage McGriddles,5 oz (141 g),0.21715817694369974,200,0.1864406779661017,34,8.0,40,0.0,35,11,0.2861111111111111,43,0.291970802919708,15,2,8,15,0.12643678160919541,0,0,8,10,0.18152350081037275,2.978723404255319,No,7.801418439716312,1,112
Breakfast,"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),0.2868632707774799,280,0.2627118644067797,48,12.0,61,0.0,265,89,0.36666666666666664,55,0.32116788321167883,16,2,9,15,0.22988505747126436,10,0,20,15,0.2787682333873582,2.736318407960199,No,9.950248756218906,1,116
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),0.26005361930294907,230,0.22033898305084745,40,10.0,52,0.0,50,17,0.36666666666666664,55,0.3065693430656934,15,2,9,15,0.24137931034482757,2,0,20,10,0.2852512155591572,2.4390243902439024,No,10.24390243902439,1,117
Breakfast,"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),0.3243967828418231,280,0.2627118644067797,48,11.0,56,0.5,275,92,0.4111111111111111,62,0.3868613138686131,19,3,11,7,0.3448275862068966,20,15,20,20,0.2722852512155592,3.1472081218274113,No,15.228426395939088,1,7
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),0.29758713136729226,230,0.211864406779661,39,9.0,45,0.5,60,20,0.4111111111111111,62,0.3722627737226277,18,3,12,8,0.3448275862068966,10,15,20,15,0.2787682333873582,2.8358208955223883,No,14.925373134328357,1,8
Breakfast,"Steak, Egg & Cheese Bagel",8.5 oz (241 g),0.3512064343163539,310,0.2966101694915254,53,13.0,63,1.5,295,99,0.41944444444444445,63,0.3795620437956204,19,3,12,7,0.3793103448275862,20,4,25,25,0.34359805510534847,2.780082987551867,No,13.692946058091287,1,127
